seed,checkpoint_epoch,checkpoint_fraction,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
3,240,1.0,np,0.15,all,All layers,-1,0.07916686343005305,0.6332666128873825,0.004997031792299822,3.851862857118249e-05
3,240,1.0,np,0.15,layer_1,Layer 1,0,0.03758515556295758,0.5077501758933067,0.004632374620996416,2.16826695123018e-05
3,240,1.0,np,0.15,layer_2,Layer 2,1,0.04665941307597829,0.4861927228048444,0.004756710608489811,3.366558354400695e-05
3,240,1.0,np,0.15,layer_3,Layer 3,2,0.191058634250597,0.7690687756985426,0.009836859302595258,0.0002120306799042737
3,240,1.0,np_fan_in,0.1,all,All layers,-1,0.07094097943944083,0.6545029804110527,0.006133497983682901,4.046746175845328e-05
3,240,1.0,np_fan_in,0.1,layer_1,Layer 1,0,0.04097523763212223,0.553302351385355,0.0062262098072096705,2.4402737153650378e-05
3,240,1.0,np_fan_in,0.1,layer_2,Layer 2,1,0.04673329173279844,0.5729739721864462,0.005541513964999467,2.8207397235746612e-05
3,240,1.0,np_fan_in,0.1,layer_3,Layer 3,2,0.16445181367065137,0.7588991783559322,0.010127672692760825,0.0002670657886483241
3,240,1.0,np_fixed,0.3,all,All layers,-1,0.06606229793853041,0.6519717238843441,0.006111806491389871,5.0329523901382345e-05
3,240,1.0,np_fixed,0.3,layer_1,Layer 1,0,0.034162493541172505,0.4584910273551941,0.006264378549531102,2.8969262075406732e-05
3,240,1.0,np_fixed,0.3,layer_2,Layer 2,1,0.04703993283878087,0.5838471502065659,0.005328318307874724,3.281867498117208e-05
3,240,1.0,np_fixed,0.3,layer_3,Layer 3,2,0.1455547533587378,0.8021791465580463,0.011159134795889258,0.0003612983891798649
3,240,1.0,wp,0.225,all,All layers,-1,0.016184582572788264,0.22776153776794672,0.04869645228609443,0.00027671240059135016
3,240,1.0,wp,0.225,layer_1,Layer 1,0,0.01096989861384164,0.15332459448836744,0.04796502646058798,0.00021598159037239384
3,240,1.0,wp,0.225,layer_2,Layer 2,1,0.006141940043907349,0.07100535230711102,0.048306476790457964,0.00025613153775339015
3,240,1.0,wp,0.225,layer_3,Layer 3,2,0.050780578480500556,0.4087519608438015,0.05766767589375377,0.0009272056304325815
4,1,0.004166666666666667,np,0.15,all,All layers,-1,0.09749026779120414,0.7641335502266884,0.01023069059010595,4.6068133542576106e-05
4,1,0.004166666666666667,np,0.15,layer_1,Layer 1,0,0.008323865750783928,0.12318969145417213,0.009753610705956817,4.1906767819455126e-05
4,1,0.004166666666666667,np,0.15,layer_2,Layer 2,1,0.029550423007663088,0.3952141306363046,0.009885686100460589,4.9306890559819294e-05
4,1,0.004166666666666667,np,0.15,layer_3,Layer 3,2,0.2612551419325125,0.9973363503813744,0.016807370586320758,5.344901444459538e-05
4,1,0.004166666666666667,np_fan_in,0.1,all,All layers,-1,0.09480044636520688,0.6852675309637561,0.009848782909102738,4.6257765461632516e-05
4,1,0.004166666666666667,np_fan_in,0.1,layer_1,Layer 1,0,0.0035321841727485054,0.0643818725948222,0.010030676610767841,3.8990323218968115e-05
4,1,0.004166666666666667,np_fan_in,0.1,layer_2,Layer 2,1,0.0179599641941356,0.23483875580132008,0.00871745910262689,5.0341430551270605e-05
4,1,0.004166666666666667,np_fan_in,0.1,layer_3,Layer 3,2,0.25894898473382755,0.838613148778677,0.017444224911741912,7.172799217869397e-05
4,1,0.004166666666666667,np_fixed,0.3,all,All layers,-1,0.10175581328991634,0.8097108900547028,0.009799879509955645,3.261196798121091e-05
4,1,0.004166666666666667,np_fixed,0.3,layer_1,Layer 1,0,0.00401359809237268,0.07596065825782716,0.009989332407712936,3.490976905595744e-05
4,1,0.004166666666666667,np_fixed,0.3,layer_2,Layer 2,1,0.02107458322434278,0.41510424856096506,0.008546193013899028,2.9070663686070475e-05
4,1,0.004166666666666667,np_fixed,0.3,layer_3,Layer 3,2,0.26617520113262194,0.995248980820179,0.018313740380108356,4.256001150793054e-05
4,1,0.004166666666666667,wp,0.225,all,All layers,-1,0.03394508846654484,0.41219898872077465,0.07743422593921423,0.00035752229086938314
4,1,0.004166666666666667,wp,0.225,layer_1,Layer 1,0,0.002863408110048719,0.04857893171720207,0.07656676229089499,0.0003430074320931453
4,1,0.004166666666666667,wp,0.225,layer_2,Layer 2,1,0.00762983965175105,0.11431591492146254,0.07696763798594475,0.0003644041462393943
4,1,0.004166666666666667,wp,0.225,layer_3,Layer 3,2,0.1224128291344338,0.8302253521978855,0.08810661919414997,0.00041858623080770485
4,120,0.5,np,0.15,all,All layers,-1,0.10273311504017024,0.7588123939931393,0.005620027717668563,2.3262363583853585e-05
4,120,0.5,np,0.15,layer_1,Layer 1,0,0.04009904824130217,0.5560458861291409,0.005184245819691569,2.0137985416113224e-05
4,120,0.5,np,0.15,layer_2,Layer 2,1,0.06887937077083658,0.6888533309102058,0.0054028894228395075,2.131817700501415e-05
4,120,0.5,np,0.15,layer_3,Layer 3,2,0.2212418246694142,0.9156628549098969,0.010843391879461706,6.381088633133913e-05
4,120,0.5,np_fan_in,0.1,all,All layers,-1,0.07843168283796492,0.6803781799972057,0.00614705664338544,2.5253567400795873e-05
4,120,0.5,np_fan_in,0.1,layer_1,Layer 1,0,0.04369356043294677,0.576420646160841,0.006246683769859374,2.459117547459755e-05
4,120,0.5,np_fan_in,0.1,layer_2,Layer 2,1,0.05098912002605971,0.6437020786106586,0.005254957650322467,1.7964276310067362e-05
4,120,0.5,np_fan_in,0.1,layer_3,Layer 3,2,0.14890789313673544,0.8370704613626003,0.012486831634305418,8.886703653843142e-05
4,120,0.5,np_fixed,0.3,all,All layers,-1,0.09331378066531215,0.6817797040566802,0.006126774474978447,2.9088307996971707e-05
4,120,0.5,np_fixed,0.3,layer_1,Layer 1,0,0.048893494544999305,0.5992777086794376,0.006240718357730657,2.661120515767834e-05
4,120,0.5,np_fixed,0.3,layer_2,Layer 2,1,0.05808896218914772,0.5954377762973309,0.005253755254670978,1.8582501240871352e-05
4,120,0.5,np_fixed,0.3,layer_3,Layer 3,2,0.1884880721040948,0.6957533210515976,0.012199379038065672,0.00013295156804815633
4,120,0.5,wp,0.225,all,All layers,-1,0.02808105882598492,0.3346166368573904,0.05618814844638109,0.00027539734219317324
4,120,0.5,wp,0.225,layer_1,Layer 1,0,0.012540033145648978,0.19047156418673694,0.0552168320864439,0.00023272080761671532
4,120,0.5,wp,0.225,layer_2,Layer 2,1,0.01643849104593187,0.23098415695130825,0.055721568409353495,0.0002932250208687037
4,120,0.5,wp,0.225,layer_3,Layer 3,2,0.07730331481513228,0.4797049732878804,0.06769132846966386,0.00047418816393474117
4,240,1.0,np,0.15,all,All layers,-1,0.20202021212230648,0.9222659915685654,0.005692624661605805,2.8985425387872965e-05
4,240,1.0,np,0.15,layer_1,Layer 1,0,0.05825024120318479,0.6502829678356647,0.005245069012744352,2.3890209831733955e-05
4,240,1.0,np,0.15,layer_2,Layer 2,1,0.13882939448421894,0.8616014644503593,0.0054506521264556795,2.6475282311366755e-05
4,240,1.0,np,0.15,layer_3,Layer 3,2,0.4278827602992048,0.9899211749434471,0.011208846583031118,8.982830422610277e-05
4,240,1.0,np_fan_in,0.1,all,All layers,-1,0.19184166492645244,0.943977952003479,0.006319515116047114,2.8294550020291354e-05
4,240,1.0,np_fan_in,0.1,layer_1,Layer 1,0,0.05418138565199418,0.6659547686576843,0.006336854828987271,2.4911214495659806e-05
4,240,1.0,np_fan_in,0.1,layer_2,Layer 2,1,0.12361881931550064,0.8962339162826538,0.005524804873857647,2.037089461737196e-05
4,240,1.0,np_fan_in,0.1,layer_3,Layer 3,2,0.43237104094732787,0.9890997856855392,0.012538479641079903,0.00011875049540321925
4,240,1.0,np_fixed,0.3,all,All layers,-1,0.2008951149719981,0.9401418045163155,0.006228775659110397,3.3146508712889045e-05
4,240,1.0,np_fixed,0.3,layer_1,Layer 1,0,0.05282775960244711,0.6445067003369331,0.006190551328472793,2.472824428423337e-05
4,240,1.0,np_fixed,0.3,layer_2,Layer 2,1,0.13077491377019518,0.8586414381861687,0.005444631271529943,2.782250294330879e-05
4,240,1.0,np_fixed,0.3,layer_3,Layer 3,2,0.4527126764824667,0.9908900707960129,0.012807727209292352,0.0001430846682524134
4,240,1.0,wp,0.225,all,All layers,-1,0.0703335992477226,0.6810615248978138,0.055812735576182604,0.0002492016919859452
4,240,1.0,wp,0.225,layer_1,Layer 1,0,0.01643312643576505,0.27400869538541883,0.05518179992213845,0.00021572028890659567
4,240,1.0,wp,0.225,layer_2,Layer 2,1,0.047955229704265884,0.5568974204361439,0.05515687074512243,0.00026205764879705384
4,240,1.0,wp,0.225,layer_3,Layer 3,2,0.21787014693015105,0.9208918809890747,0.06610715109854937,0.0004142053312534699
5,1,0.004166666666666667,np,0.15,all,All layers,-1,0.05757971259501649,0.5678384946659207,0.009635794558562338,4.580401127896039e-05
5,1,0.004166666666666667,np,0.15,layer_1,Layer 1,0,0.009916189410849558,0.16264829196734354,0.009274219395592809,4.3514898607099894e-05
5,1,0.004166666666666667,np,0.15,layer_2,Layer 2,1,0.008441840987507021,0.07393523375503719,0.00925773911876604,4.746296463054023e-05
5,1,0.004166666666666667,np,0.15,layer_3,Layer 3,2,0.16043822799680735,0.9846533536911011,0.015552839846350253,5.08452798868575e-05
5,1,0.004166666666666667,np_fan_in,0.1,all,All layers,-1,0.06555615718170885,0.6066148392856121,0.010097283171489835,4.308516577111732e-05
5,1,0.004166666666666667,np_fan_in,0.1,layer_1,Layer 1,0,0.0033421710232005354,0.06918524182401597,0.010247514466755092,4.496331393966102e-05
5,1,0.004166666666666667,np_fan_in,0.1,layer_2,Layer 2,1,0.009285863545922741,0.16486157500185072,0.00919211923610419,4.090442826054641e-05
5,1,0.004166666666666667,np_fan_in,0.1,layer_3,Layer 3,2,0.1792583218765988,0.9563283398747444,0.01613674231339246,4.550590082885719e-05
5,1,0.004166666666666667,np_fixed,0.3,all,All layers,-1,0.06611953797831424,0.6101534063927829,0.010179270640946925,4.575385128191556e-05
5,1,0.004166666666666667,np_fixed,0.3,layer_1,Layer 1,0,0.01020427738010691,0.1260553002357483,0.010416749166324735,4.553645567284548e-05
5,1,0.004166666666666667,np_fixed,0.3,layer_2,Layer 2,1,0.0082923852515061,0.08966706530191004,0.009103617572691292,4.077660400980676e-05
5,1,0.004166666666666667,np_fixed,0.3,layer_3,Layer 3,2,0.19916580745454365,0.8176006898283958,0.016884672339074314,8.731100012937532e-05
5,1,0.004166666666666667,wp,0.225,all,All layers,-1,0.020193315335865235,0.2680099280551076,0.0691425814293325,0.0003001772092829924
5,1,0.004166666666666667,wp,0.225,layer_1,Layer 1,0,-0.00034921747580938264,-0.008897005347535014,0.06877351365983486,0.0002911073479481274
5,1,0.004166666666666667,wp,0.225,layer_2,Layer 2,1,0.006177511848917069,0.09807593654841185,0.06827442068606615,0.0002970203695440432
5,1,0.004166666666666667,wp,0.225,layer_3,Layer 3,2,0.06895633850576625,0.5424420461058617,0.07904044073075056,0.0003979907214670675
5,120,0.5,np,0.15,all,All layers,-1,0.08278243896207868,0.6871135178953409,0.008133859082590789,3.874015465044067e-05
5,120,0.5,np,0.15,layer_1,Layer 1,0,0.023053444607232146,0.3578356020152569,0.007824618311133236,3.5829495573125314e-05
5,120,0.5,np,0.15,layer_2,Layer 2,1,0.03437048255577224,0.47637581918388605,0.007782356173265725,3.4721312431429396e-05
5,120,0.5,np,0.15,layer_3,Layer 3,2,0.23026449606598665,0.8286003191024065,0.013419812661595643,9.417619810392353e-05
5,120,0.5,np_fan_in,0.1,all,All layers,-1,0.08354363016058718,0.7578501887619495,0.00881983619183302,3.320401856399258e-05
5,120,0.5,np_fan_in,0.1,layer_1,Layer 1,0,0.02526412654002949,0.3822161089628935,0.009004533872939646,3.636748829194403e-05
5,120,0.5,np_fan_in,0.1,layer_2,Layer 2,1,0.033684501600045755,0.5686139538884163,0.007976388151291758,2.5668584953564277e-05
5,120,0.5,np_fan_in,0.1,layer_3,Layer 3,2,0.2298329591723814,0.9280294626951218,0.014089831849560142,6.81797246215865e-05
5,120,0.5,np_fixed,0.3,all,All layers,-1,0.08597009218541038,0.7468260750174522,0.008864335250109434,3.663751067506382e-05
