seed,checkpoint_epoch,batch_index,method,sigma,component,component_label,layer_index,avg_sample_cosine,mean_estimate_cosine,sample_variance,batch_variance
3,1,12,np_fan_in,0.00875,all,All parameters,-1,0.026782237089355475,0.25460267066955566,1.5676149669161532e-05,1.626418963951437e-07
3,1,12,np_fixed,0.12,all,All parameters,-1,0.014721587755921063,0.14321748912334442,4.873688390944153e-05,5.034441414863977e-07
3,1,12,wp,0.0275,all,All parameters,-1,0.0011795936677970076,0.012210706248879433,0.00943970238789916,9.501991007709876e-05
3,1,13,np,0.0325,all,All parameters,-1,0.03925573477477883,0.3572148382663727,1.4269741186581086e-05,1.5480156889680075e-07
3,1,13,np_fan_in,0.00875,all,All parameters,-1,0.037932216176996006,0.3524829149246216,1.7862432896436077e-05,1.85230064175812e-07
3,1,13,np_fixed,0.12,all,All parameters,-1,0.017599731736117973,0.17589806020259857,5.6671327838557774e-05,5.893512593502237e-07
3,1,13,wp,0.0275,all,All parameters,-1,0.0014190709648437404,0.014490730129182339,0.009841100270859897,9.852423681877553e-05
3,1,14,np,0.0325,all,All parameters,-1,0.018715944174327887,0.17433032393455505,1.2182395212221308e-05,1.4285031113558944e-07
3,1,14,np_fan_in,0.00875,all,All parameters,-1,0.02192141214996809,0.20814833045005798,1.556401476591418e-05,1.657113131159349e-07
3,1,14,np_fixed,0.12,all,All parameters,-1,0.011658928248871235,0.12018688023090363,4.703388174675638e-05,4.5988869601387705e-07
3,1,14,wp,0.0275,all,All parameters,-1,0.00040525563490518836,0.004206356592476368,0.008310923166573048,8.347263064933941e-05
3,1,15,np,0.0325,all,All parameters,-1,0.019457608046359383,0.1786566972732544,1.4503941956718336e-05,1.6887062770365446e-07
3,1,15,np_fan_in,0.00875,all,All parameters,-1,0.012096334145753644,0.12148675322532654,1.920487266033888e-05,1.932085922362603e-07
3,1,15,np_fixed,0.12,all,All parameters,-1,0.01447828413973184,0.1421051174402237,5.735837436077418e-05,5.851638320564234e-07
3,1,15,wp,0.0275,all,All parameters,-1,0.000830938784688442,0.008371765725314617,0.0099514190107584,9.907005005516112e-05
3,1,16,np,0.0325,all,All parameters,-1,0.019900112640461886,0.1820220798254013,1.325745320173155e-05,1.5242275708260422e-07
3,1,16,np_fan_in,0.00875,all,All parameters,-1,0.018943707524158526,0.18120169639587402,1.6604291668045336e-05,1.7417251285678503e-07
3,1,16,np_fixed,0.12,all,All parameters,-1,0.013817302712886885,0.13752618432044983,5.12651430835831e-05,5.114089844937553e-07
3,1,16,wp,0.0275,all,All parameters,-1,0.0013313504189500236,0.013181603513658047,0.009403185164555907,9.42651167861186e-05
3,1,17,np,0.0325,all,All parameters,-1,0.029623692058958113,0.26318344473838806,1.3791361225230502e-05,1.6499380706136435e-07
3,1,17,np_fan_in,0.00875,all,All parameters,-1,0.02329019728813364,0.22128397226333618,1.7031671541190006e-05,1.80009934069858e-07
3,1,17,np_fixed,0.12,all,All parameters,-1,0.01449934046366252,0.1453530490398407,4.999910437618382e-05,5.04479658047785e-07
3,1,17,wp,0.0275,all,All parameters,-1,0.0009964584277804534,0.01001764927059412,0.00941379823256284,9.39938981900923e-05
3,1,18,np,0.0325,all,All parameters,-1,0.018061989982961678,0.171612948179245,1.2170248955953866e-05,1.3275420940317417e-07
3,1,18,np_fan_in,0.00875,all,All parameters,-1,0.01918217936952715,0.17609496414661407,1.602818350875168e-05,1.818528971853084e-07
3,1,18,np_fixed,0.12,all,All parameters,-1,0.012990400596609107,0.13127054274082184,4.903805445792386e-05,4.825366772820416e-07
3,1,18,wp,0.0275,all,All parameters,-1,0.0007817341080954065,0.007828508503735065,0.008588222991675139,8.59855063026771e-05
3,1,19,np,0.0325,all,All parameters,-1,0.030013080447388346,0.272625595331192,1.2311949194554473e-05,1.413899326507817e-07
3,1,19,np_fan_in,0.00875,all,All parameters,-1,0.027854773466824554,0.2572768032550812,1.5343471604865046e-05,1.7187554135489336e-07
3,1,19,np_fixed,0.12,all,All parameters,-1,0.01941665225313045,0.19257622957229614,4.687445059971651e-05,4.627324017292267e-07
3,1,19,wp,0.0275,all,All parameters,-1,0.0016956702859533834,0.017116935923695564,0.007995801027864218,7.981687667779624e-05
3,1,20,np,0.0325,all,All parameters,-1,0.02259735970146721,0.21392317116260529,1.4612194536312018e-05,1.574313159835583e-07
3,1,20,np_fan_in,0.00875,all,All parameters,-1,0.02166478267448838,0.20806841552257538,1.814454555642442e-05,1.9488997793359886e-07
3,1,20,np_fixed,0.12,all,All parameters,-1,0.011263457704917528,0.11315334588289261,5.616431208181894e-05,5.716075861528225e-07
3,1,20,wp,0.0275,all,All parameters,-1,0.0005727749161997054,0.005954237189143896,0.010046082995831967,0.00010033177386503667
3,1,21,np,0.0325,all,All parameters,-1,0.02736204052576795,0.2559828758239746,1.5715034478489543e-05,1.7221863402028248e-07
3,1,21,np_fan_in,0.00875,all,All parameters,-1,0.025155012503964826,0.24056340754032135,1.8518408805903163e-05,1.934778168788398e-07
3,1,21,np_fixed,0.12,all,All parameters,-1,0.018107445995992746,0.1782303899526596,5.91274752150639e-05,6.066025548534526e-07
3,1,21,wp,0.0275,all,All parameters,-1,0.0012122801540317596,0.012417376972734928,0.011093586809001863,0.00011078041279688478
3,1,22,np,0.0325,all,All parameters,-1,0.03608378380478825,0.3163560926914215,1.4424799182961578e-05,1.692544060460932e-07
3,1,22,np_fan_in,0.00875,all,All parameters,-1,0.03047389243700309,0.28184813261032104,1.8047663415927674e-05,1.9403394446726452e-07
3,1,22,np_fixed,0.12,all,All parameters,-1,0.01054924669821048,0.10738597810268402,5.459003637952264e-05,5.269948246677814e-07
3,1,22,wp,0.0275,all,All parameters,-1,0.0013810819368791272,0.013869226910173893,0.009860281394794583,9.88757165032439e-05
3,1,23,np,0.0325,all,All parameters,-1,0.029258411574701312,0.2622331976890564,1.4565687361027812e-05,1.7377007566210523e-07
3,1,23,np_fan_in,0.00875,all,All parameters,-1,0.026087283808737993,0.25251564383506775,1.783205949323019e-05,1.8058081252547709e-07
3,1,23,np_fixed,0.12,all,All parameters,-1,0.01800820005861169,0.1766863763332367,5.579813201620709e-05,5.562827709582052e-07
3,1,23,wp,0.0275,all,All parameters,-1,0.0007230762257040623,0.007303731981664896,0.010405098260380328,0.00010372196265961975
3,1,24,np,0.0325,all,All parameters,-1,0.0367329146200791,0.3301346004009247,1.2947950681336806e-05,1.474861477390732e-07
3,1,24,np_fan_in,0.00875,all,All parameters,-1,0.03350851690396667,0.31053653359413147,1.4977518321757089e-05,1.5961572330525087e-07
3,1,24,np_fixed,0.12,all,All parameters,-1,0.017524436283565592,0.17447255551815033,4.412350579514168e-05,4.4368550788931316e-07
3,1,24,wp,0.0275,all,All parameters,-1,0.001423783297295813,0.0145573103800416,0.008690865342505277,8.653929398860782e-05
3,1,25,np,0.0325,all,All parameters,-1,0.028990778335428333,0.26475492119789124,1.3686079155377229e-05,1.5867166780481057e-07
3,1,25,np_fan_in,0.00875,all,All parameters,-1,0.027081319863791576,0.2620622515678406,1.6569201561651427e-05,1.6740894182021293e-07
3,1,25,np_fixed,0.12,all,All parameters,-1,0.015493014476887765,0.15500633418560028,4.929741488012951e-05,4.965287985214673e-07
3,1,25,wp,0.0275,all,All parameters,-1,0.0011663683195092744,0.011647595092654228,0.009455552864819765,9.427690383745357e-05
3,1,26,np,0.0325,all,All parameters,-1,0.024972857891989407,0.23852121829986572,1.5291734925995115e-05,1.5837093769732746e-07
3,1,26,np_fan_in,0.00875,all,All parameters,-1,0.018361309293104568,0.1842343509197235,1.8363109720667126e-05,1.8742396434845432e-07
3,1,26,np_fixed,0.12,all,All parameters,-1,0.012060751274111681,0.12086056917905807,5.889656487852335e-05,5.878848696738714e-07
3,1,26,wp,0.0275,all,All parameters,-1,0.0006312356812031794,0.0064574722200632095,0.010808006124570967,0.00010809591913130134
3,1,27,np,0.0325,all,All parameters,-1,0.029063215238420526,0.2685236930847168,1.4012774418006302e-05,1.5766235605951806e-07
3,1,27,np_fan_in,0.00875,all,All parameters,-1,0.025961307399556974,0.24288131296634674,1.7745262703101616e-05,1.9385619509648677e-07
3,1,27,np_fixed,0.12,all,All parameters,-1,0.017400051762815564,0.17484769225120544,5.5029370341799224e-05,5.470636210702651e-07
3,1,27,wp,0.0275,all,All parameters,-1,0.0009540813681451255,0.00962029118090868,0.00978809732478112,9.826806490309536e-05
3,1,28,np,0.0325,all,All parameters,-1,0.02767550081548052,0.24842511117458344,1.4482830738415942e-05,1.6885825004919752e-07
3,1,28,np_fan_in,0.00875,all,All parameters,-1,0.021952827862114645,0.21233485639095306,1.8067520195472752e-05,1.888355001256059e-07
3,1,28,np_fixed,0.12,all,All parameters,-1,0.013444118619372603,0.13671638071537018,5.655442491843132e-05,5.599096652986191e-07
3,1,28,wp,0.0275,all,All parameters,-1,0.0014707835318131402,0.014795113354921341,0.009835420176386833,9.852460789261386e-05
3,1,29,np,0.0325,all,All parameters,-1,0.03127737570204772,0.28339365124702454,1.6675555561960208e-05,1.8933359058337373e-07
3,1,29,np_fan_in,0.00875,all,All parameters,-1,0.029841155133908615,0.27544596791267395,2.0405795557962845e-05,2.2316221759410837e-07
3,1,29,np_fixed,0.12,all,All parameters,-1,0.01852652164030587,0.18316560983657837,6.465177921199938e-05,6.56997087844502e-07
3,1,29,wp,0.0275,all,All parameters,-1,0.0010840966652722272,0.011041143909096718,0.011796637689694762,0.00011824206740129739
3,1,30,np,0.0325,all,All parameters,-1,0.030332239370036405,0.27726879715919495,1.2953437399119138e-05,1.4520641400395107e-07
3,1,30,np_fan_in,0.00875,all,All parameters,-1,0.028187627702427564,0.2592617869377136,1.5289024204321323e-05,1.7254781425890542e-07
3,1,30,np_fixed,0.12,all,All parameters,-1,0.018929858204792253,0.18808519840240479,4.2923716428049375e-05,4.267819804226747e-07
3,1,30,wp,0.0275,all,All parameters,-1,0.0008299464987794636,0.008396822959184647,0.008739677341654897,8.76830963534303e-05
3,1,31,np,0.0325,all,All parameters,-1,0.032679695685919795,0.2988722324371338,1.4444980424741515e-05,1.6045218842464237e-07
3,1,31,np_fan_in,0.00875,all,All parameters,-1,0.034135239060851745,0.315226286649704,1.871879341706517e-05,1.994920495462793e-07
3,1,31,np_fixed,0.12,all,All parameters,-1,0.021369575407807134,0.21453385055065155,5.539491699892096e-05,5.25323855526949e-07
3,1,31,wp,0.0275,all,All parameters,-1,0.0009646254155995848,0.009982085786759853,0.00997361452318728,9.96521848719567e-05
3,1,32,np,0.0325,all,All parameters,-1,0.019614463869365863,0.18753130733966827,1.4371823781402781e-05,1.5527898256095796e-07
3,1,32,np_fan_in,0.00875,all,All parameters,-1,0.021313176611147355,0.2076593041419983,1.7138574557975518e-05,1.7855217038231785e-07
3,1,32,np_fixed,0.12,all,All parameters,-1,0.01102579543730826,0.11207599937915802,5.175109079573303e-05,5.121042363498418e-07
3,1,32,wp,0.0275,all,All parameters,-1,0.0003138481363293977,0.0032393622677773237,0.010394877037033439,0.00010468577238498256
3,1,33,np,0.0325,all,All parameters,-1,0.022664213581592776,0.208866149187088,1.4013541422173148e-05,1.5831402322419308e-07
3,1,33,np_fan_in,0.00875,all,All parameters,-1,0.02375220511632506,0.2304438352584839,1.7017942045640666e-05,1.738056596423121e-07
3,1,33,np_fixed,0.12,all,All parameters,-1,0.01627264688751893,0.1565476804971695,5.295774531987263e-05,5.5682642141619e-07
3,1,33,wp,0.0275,all,All parameters,-1,0.0011092467608978041,0.011058700270950794,0.009621636751107871,9.596564632374793e-05
3,1,34,np,0.0325,all,All parameters,-1,0.027043970610625367,0.24927827715873718,1.2408111306285719e-05,1.373960856199119e-07
3,1,34,np_fan_in,0.00875,all,All parameters,-1,0.028129690677887995,0.25953221321105957,1.4849401841274812e-05,1.6098810817766207e-07
3,1,34,np_fixed,0.12,all,All parameters,-1,0.014262330209603533,0.14392828941345215,4.4982058680034245e-05,4.3520742565306136e-07
3,1,34,wp,0.0275,all,All parameters,-1,0.0009590822988502623,0.009424807503819466,0.008526127552613616,8.535711822332814e-05
3,1,35,np,0.0325,all,All parameters,-1,0.017395430826727534,0.16052789986133575,1.2904242539661937e-05,1.468466450660344e-07
3,1,35,np_fan_in,0.00875,all,All parameters,-1,0.018389411454845687,0.17181512713432312,1.60158658218279e-05,1.840762280380659e-07
3,1,35,np_fixed,0.12,all,All parameters,-1,0.009854297987185418,0.09966404736042023,4.836795149458339e-05,4.834279820897791e-07
3,1,35,wp,0.0275,all,All parameters,-1,0.000546455903606784,0.005573312286287546,0.008457458941265941,8.468496525892988e-05
3,1,36,np,0.0325,all,All parameters,-1,0.027335466626100244,0.25518083572387695,1.5629868021278525e-05,1.7592310541658662e-07
3,1,36,np_fan_in,0.00875,all,All parameters,-1,0.026903664802666753,0.24996492266654968,2.149390864360612e-05,2.347449026274262e-07
3,1,36,np_fixed,0.12,all,All parameters,-1,0.013813186960760504,0.1381794810295105,6.736786435794784e-05,6.573515065610991e-07
3,1,36,wp,0.0275,all,All parameters,-1,0.0008949508611840428,0.00891030952334404,0.010959655782207846,0.00011011104652425274
3,1,37,np,0.0325,all,All parameters,-1,0.020502321772946742,0.19175902009010315,1.5243173547787592e-05,1.8140853796921874e-07
3,1,37,np_fan_in,0.00875,all,All parameters,-1,0.02406034707368235,0.22870677709579468,1.9205630951546482e-05,2.1398948035766807e-07
3,1,37,np_fixed,0.12,all,All parameters,-1,0.021273160621640273,0.21103546023368835,6.025369733833941e-05,5.800287112833757e-07
3,1,37,wp,0.0275,all,All parameters,-1,0.0015009428567873328,0.015020825900137424,0.01032522995956242,0.00010361674503656104
3,1,38,np,0.0325,all,All parameters,-1,0.025227683237753807,0.23044103384017944,1.5086516550582018e-05,1.7415572983736638e-07
3,1,38,np_fan_in,0.00875,all,All parameters,-1,0.020712195572996278,0.19876788556575775,1.9670783540277626e-05,2.07235288485208e-07
3,1,38,np_fixed,0.12,all,All parameters,-1,0.013406461235135794,0.13297662138938904,6.284614570176927e-05,6.515836616927118e-07
3,1,38,wp,0.0275,all,All parameters,-1,0.001355087617589561,0.013652142137289047,0.011160298874601722,0.00011170470679644495
3,1,39,np,0.0325,all,All parameters,-1,0.027437572323906353,0.25842511653900146,1.5676730736231548e-05,1.7217338665886928e-07
3,1,39,np_fan_in,0.00875,all,All parameters,-1,0.019471574248454998,0.1906234323978424,1.8860448735722458e-05,1.9644700444132468e-07
3,1,39,np_fixed,0.12,all,All parameters,-1,0.014089220904527338,0.14203137159347534,5.9242615461698735e-05,5.744870463786356e-07
3,1,39,wp,0.0275,all,All parameters,-1,0.0010059759655268862,0.010344572365283966,0.010786586706526578,0.00010829840175574645
3,1,40,np,0.0325,all,All parameters,-1,0.02937163941904146,0.274947851896286,1.6153124006450527e-05,1.7355110060179868e-07
