seed,checkpoint_epoch,method,cosine,variance,sigma
8,120,np_fan_in,0.7692160755395889,0.006364169763401151,0.1
8,120,np_fixed,0.6118794116191566,0.006426800217013806,0.3
8,120,wp,0.46191296726465225,0.0562285496853292,0.225
8,240,np,0.7107584960758686,0.005414682673290372,0.15
8,240,np_fan_in,0.6480564922094345,0.00616453995462507,0.1
8,240,np_fixed,0.6856793537735939,0.006275747029576451,0.3
8,240,wp,0.3098255004733801,0.05324206501245499,0.225
9,1,np,0.6503029782325029,0.009955817018635571,0.15
9,1,np_fan_in,0.7835189290344715,0.010098734172061086,0.1
9,1,np_fixed,0.7755225272849202,0.010032392106950283,0.3
9,1,wp,0.4894872037693858,0.07351487316191196,0.225
9,120,np,0.6731234677135944,0.009429003286641091,0.15
9,120,np_fan_in,0.6994600966572762,0.009516935679130256,0.1
9,120,np_fixed,0.6779092513024807,0.009378935908898711,0.3
9,120,wp,0.3723374493420124,0.07065212726593018,0.225
9,240,np,0.7123438594862819,0.005960374895948917,0.15
9,240,np_fan_in,0.6663186624646187,0.0065597351640462875,0.1
9,240,np_fixed,0.7147515467368066,0.006463496189098805,0.3
9,240,wp,0.45376529078930616,0.059817001689225435,0.225
