seed,condition,condition_label,input_scale,method,method_label,cosine,variance,batch_variance,sigma
5,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.40550879140694934,0.06236436000714699,0.0002795613111932956,0.3
5,scaled,"[-5, 5]",5.0,wp,WP,0.3081313253690799,0.06147279761110743,0.0003090147838520352,0.225
6,base,"[-1, 1]",1.0,np,IS-NP,0.7786497616519531,0.00867693493880021,4.5178285290603526e-05,0.15
6,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.822241747751832,0.008592197089456022,3.476996895794097e-05,0.10000000000000002
6,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7961727756386002,0.008677268458995968,4.2995566445824807e-05,0.3
6,base,"[-1, 1]",1.0,wp,WP,0.5360328072371582,0.07117223755146067,0.00034026330104097724,0.225
6,scaled,"[-5, 5]",5.0,np,IS-NP,0.7629793398082256,0.009055807041780403,5.966056081282053e-05,0.15
6,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5718625374138355,0.07080750990038116,0.0002767682365932463,0.10000000000000002
6,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5698772190759579,0.0709488745778799,0.00031252610218264937,0.3
6,scaled,"[-5, 5]",5.0,wp,WP,0.45977037751193467,0.07964610463629167,0.00041809570817955927,0.225
7,base,"[-1, 1]",1.0,np,IS-NP,0.7504588421434164,0.007308511752247189,3.543737636846345e-05,0.15
7,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.750171230485042,0.008069934110001972,4.203217796809137e-05,0.10000000000000002
7,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7663808185607195,0.007979624264407903,3.403697193486247e-05,0.3
7,base,"[-1, 1]",1.0,wp,WP,0.4318297520900766,0.060806331845621266,0.0002873927332984749,0.225
7,scaled,"[-5, 5]",5.0,np,IS-NP,0.7810575620581707,0.0076367055104735,4.617081253854849e-05,0.15
7,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5295944027602673,0.07108116398255031,0.00031911627805432846,0.10000000000000002
7,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5448133855437239,0.07075653923675418,0.000288632558901251,0.3
7,scaled,"[-5, 5]",5.0,wp,WP,0.4589759161074956,0.06664988864213228,0.00033726200733023387,0.225
8,base,"[-1, 1]",1.0,np,IS-NP,0.8350115964810053,0.0073275961525117355,3.8332652896618434e-05,0.15
8,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.8485932697852453,0.007945226951657483,3.6006982175725476e-05,0.10000000000000002
8,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.8199785798788071,0.007982584395601103,3.9176273655054196e-05,0.3
8,base,"[-1, 1]",1.0,wp,WP,0.5813541871805986,0.06283979893972476,0.0002903644751010385,0.225
8,scaled,"[-5, 5]",5.0,np,IS-NP,0.8430070156852404,0.007512364090265085,4.817708744061141e-05,0.15
8,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.6338144075125456,0.06592584106450279,0.0002850677431827838,0.10000000000000002
8,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.617075132826964,0.06614011945202947,0.0002936361112612455,0.3
8,scaled,"[-5, 5]",5.0,wp,WP,0.5892105406771103,0.06901324866339564,0.00033611860271776095,0.225
9,base,"[-1, 1]",1.0,np,IS-NP,0.7713642902672291,0.007963592846256992,3.725008627952775e-05,0.15
9,base,"[-1, 1]",1.0,np_fan_in,Fan-in NP,0.740999344503507,0.007879193581175059,3.977619727872176e-05,0.10000000000000002
9,base,"[-1, 1]",1.0,np_fixed,Vanilla NP,0.7941510205467542,0.007907250158799192,3.522738544840346e-05,0.3
9,base,"[-1, 1]",1.0,wp,WP,0.4968807171486939,0.06418589098999898,0.0002952131089841714,0.225
9,scaled,"[-5, 5]",5.0,np,IS-NP,0.7990391577283541,0.0068033094285055995,3.952607607971004e-05,0.15
9,scaled,"[-5, 5]",5.0,np_fan_in,Fan-in NP,0.5205699385454258,0.059326826594769955,0.00027900341713878635,0.10000000000000002
9,scaled,"[-5, 5]",5.0,np_fixed,Vanilla NP,0.5531420819461346,0.059364981949329376,0.00024320731881743995,0.3
9,scaled,"[-5, 5]",5.0,wp,WP,0.4785365406423807,0.06185614146913091,0.00030647340463474393,0.225
