seed,condition,condition_label,input_scale,checkpoint_epoch,batch_index,method,method_label,sigma,mean_estimate_cosine,avg_sample_cosine,sample_variance,batch_variance
6,base,"[-1, 1]",1.0,1,7,np,IS-NP,0.15,0.41964295506477356,0.03411874335497487,0.01834292709827423,7.828370144125074e-05
6,base,"[-1, 1]",1.0,1,7,np_fan_in,Fan-in NP,0.1,0.7010970115661621,0.041873353045715093,0.015924733132123947,3.559129618224688e-05
6,base,"[-1, 1]",1.0,1,7,np_fixed,Vanilla NP,0.3,0.45617642998695374,0.03884946139041858,0.016811298206448555,6.341355037875473e-05
6,base,"[-1, 1]",1.0,1,7,wp,WP,0.225,0.34535717964172363,0.0236858495901591,0.11054818332195282,0.0004963988903909922
6,base,"[-1, 1]",1.0,120,0,np,IS-NP,0.15,0.9709901213645935,0.23224695487909816,0.005906693171709776,7.282196020241827e-05
6,base,"[-1, 1]",1.0,120,0,np_fan_in,Fan-in NP,0.1,0.9855823516845703,0.2889075097530925,0.006909877527505159,2.3148579202825204e-05
6,base,"[-1, 1]",1.0,120,0,np_fixed,Vanilla NP,0.3,0.9627118110656738,0.27189347273330594,0.006285930518060923,5.351968138711527e-05
6,base,"[-1, 1]",1.0,120,0,wp,WP,0.225,0.77367103099823,0.08376339642660847,0.0612201951444149,0.0003314028726890683
6,base,"[-1, 1]",1.0,120,1,np,IS-NP,0.15,0.9649756550788879,0.20517319712719959,0.006728178821504116,2.7775406124419533e-05
6,base,"[-1, 1]",1.0,120,1,np_fan_in,Fan-in NP,0.1,0.9628734588623047,0.2064446321754076,0.007353609893471003,2.9673075914615765e-05
6,base,"[-1, 1]",1.0,120,1,np_fixed,Vanilla NP,0.3,0.9336711764335632,0.1806316361806239,0.0072329542599618435,5.2045052143512294e-05
6,base,"[-1, 1]",1.0,120,1,wp,WP,0.225,0.7683977484703064,0.07343094608219568,0.06620264053344727,0.0002670366957318038
6,base,"[-1, 1]",1.0,120,2,np,IS-NP,0.15,0.9308261275291443,0.14682052259280073,0.006033063400536776,2.5219522285624407e-05
6,base,"[-1, 1]",1.0,120,2,np_fan_in,Fan-in NP,0.1,0.9134761691093445,0.13157723768720947,0.006501762196421623,2.5658035156084225e-05
6,base,"[-1, 1]",1.0,120,2,np_fixed,Vanilla NP,0.3,0.8827225565910339,0.13772120987123343,0.0066475654020905495,4.285264731151983e-05
6,base,"[-1, 1]",1.0,120,2,wp,WP,0.225,0.46025174856185913,0.03501772994168277,0.05862987041473389,0.00030956504633650184
6,base,"[-1, 1]",1.0,120,3,np,IS-NP,0.15,0.9207994341850281,0.18941929962020368,0.003865025704726577,2.8140178983449005e-05
6,base,"[-1, 1]",1.0,120,3,np_fan_in,Fan-in NP,0.1,0.9220381379127502,0.16602141029046227,0.004966525360941887,2.7707357730832882e-05
6,base,"[-1, 1]",1.0,120,3,np_fixed,Vanilla NP,0.3,0.9387369751930237,0.18121958089177498,0.004804194439202547,2.515995038265828e-05
6,base,"[-1, 1]",1.0,120,3,wp,WP,0.225,0.6968430280685425,0.06838399153590823,0.05024369806051254,0.0002808122371789068
6,base,"[-1, 1]",1.0,120,4,np,IS-NP,0.15,0.7989594340324402,0.06433576728256109,0.008828189224004745,3.164539884892292e-05
6,base,"[-1, 1]",1.0,120,4,np_fan_in,Fan-in NP,0.1,0.7164661884307861,0.06342980219051242,0.008476807735860348,4.0717179217608646e-05
6,base,"[-1, 1]",1.0,120,4,np_fixed,Vanilla NP,0.3,0.7311810255050659,0.05971387440998418,0.007978016510605812,3.829261913779192e-05
6,base,"[-1, 1]",1.0,120,4,wp,WP,0.225,0.20986279845237732,0.016185909322484805,0.07166669517755508,0.00041820830665528774
6,base,"[-1, 1]",1.0,120,5,np,IS-NP,0.15,0.5885031819343567,0.04837747698935952,0.0057370346039533615,3.4652824979275465e-05
6,base,"[-1, 1]",1.0,120,5,np_fan_in,Fan-in NP,0.1,0.6062828302383423,0.04230401564418571,0.006358864717185497,2.8805685360566713e-05
6,base,"[-1, 1]",1.0,120,5,np_fixed,Vanilla NP,0.3,0.7151567339897156,0.05071015698110083,0.006144876591861248,1.7203245079144835e-05
6,base,"[-1, 1]",1.0,120,5,wp,WP,0.225,0.4094853699207306,0.025878007994712484,0.05428706854581833,0.000226534903049469
6,base,"[-1, 1]",1.0,120,6,np,IS-NP,0.15,0.9303007125854492,0.16241278209684726,0.00467475363984704,2.9232967790449038e-05
6,base,"[-1, 1]",1.0,120,6,np_fan_in,Fan-in NP,0.1,0.9088432192802429,0.1303057487491363,0.0056187123991549015,3.879200085066259e-05
6,base,"[-1, 1]",1.0,120,6,np_fixed,Vanilla NP,0.3,0.9298275709152222,0.18103617658862275,0.0054114642553031445,3.364321310073137e-05
6,base,"[-1, 1]",1.0,120,6,wp,WP,0.225,0.6634142398834229,0.060928065301777676,0.05146994814276695,0.0002426307910354808
6,base,"[-1, 1]",1.0,120,7,np,IS-NP,0.15,0.23671841621398926,0.006597427854042811,0.0058452170342206955,2.255244180560112e-05
6,base,"[-1, 1]",1.0,120,7,np_fan_in,Fan-in NP,0.1,0.6093081831932068,0.03795330485033143,0.00657443143427372,2.2699066903442144e-05
6,base,"[-1, 1]",1.0,120,7,np_fixed,Vanilla NP,0.3,0.46966248750686646,0.01931298672449581,0.006373814307153225,2.2071866624173708e-05
6,base,"[-1, 1]",1.0,120,7,wp,WP,0.225,0.01648346707224846,-0.0014311096714664019,0.05549776926636696,0.0002819873916450888
6,base,"[-1, 1]",1.0,240,0,np,IS-NP,0.15,0.9761430621147156,0.30987538072913595,0.005726963747292757,3.259862933191471e-05
6,base,"[-1, 1]",1.0,240,0,np_fan_in,Fan-in NP,0.1,0.9756157994270325,0.26287195615974873,0.005899662151932716,3.7756759411422536e-05
6,base,"[-1, 1]",1.0,240,0,np_fixed,Vanilla NP,0.3,0.9762990474700928,0.31883739491555996,0.006462243851274252,5.26293006259948e-05
6,base,"[-1, 1]",1.0,240,0,wp,WP,0.225,0.7726592421531677,0.07891850033241402,0.055158987641334534,0.0002802237868309021
6,base,"[-1, 1]",1.0,240,1,np,IS-NP,0.15,0.9668821692466736,0.19824001789141524,0.007214791141450405,2.4618060706416145e-05
6,base,"[-1, 1]",1.0,240,1,np_fan_in,Fan-in NP,0.1,0.963071882724762,0.20203179707944705,0.007314241491258144,3.122817724943161e-05
6,base,"[-1, 1]",1.0,240,1,np_fixed,Vanilla NP,0.3,0.950620174407959,0.21404615490076442,0.00767866987735033,4.7705212637083605e-05
6,base,"[-1, 1]",1.0,240,1,wp,WP,0.225,0.7892826199531555,0.08019661670041386,0.06556077301502228,0.00029180353158153594
6,base,"[-1, 1]",1.0,240,2,np,IS-NP,0.15,0.9553622007369995,0.192379740162869,0.005322437267750502,2.1535042833420448e-05
6,base,"[-1, 1]",1.0,240,2,np_fan_in,Fan-in NP,0.1,0.9267444610595703,0.15786581928405213,0.006447352468967438,3.243159153498709e-05
6,base,"[-1, 1]",1.0,240,2,np_fixed,Vanilla NP,0.3,0.9555829763412476,0.17809029912532423,0.006754959002137184,2.338864214834757e-05
6,base,"[-1, 1]",1.0,240,2,wp,WP,0.225,0.6464550495147705,0.055763002172056986,0.0623617023229599,0.00026742543559521437
6,base,"[-1, 1]",1.0,240,3,np,IS-NP,0.15,0.8714545369148254,0.12131378152019655,0.00396014703437686,2.0773872165591456e-05
6,base,"[-1, 1]",1.0,240,3,np_fan_in,Fan-in NP,0.1,0.8878382444381714,0.11116455660497498,0.004916396923363209,1.851122397056315e-05
6,base,"[-1, 1]",1.0,240,3,np_fixed,Vanilla NP,0.3,0.8914915919303894,0.11393068412471621,0.005033849738538265,2.3488844817620702e-05
6,base,"[-1, 1]",1.0,240,3,wp,WP,0.225,0.5968850255012512,0.0482936877158257,0.04700182378292084,0.00023420403886120766
6,base,"[-1, 1]",1.0,240,4,np,IS-NP,0.15,0.7722861766815186,0.07866556182949959,0.007785491179674864,5.005010825698264e-05
6,base,"[-1, 1]",1.0,240,4,np_fan_in,Fan-in NP,0.1,0.8529002070426941,0.08647520110741122,0.007803754415363073,3.104427378275432e-05
6,base,"[-1, 1]",1.0,240,4,np_fixed,Vanilla NP,0.3,0.8337118625640869,0.09316758280377448,0.007872362621128559,3.51196649717167e-05
6,base,"[-1, 1]",1.0,240,4,wp,WP,0.225,0.29505807161331177,0.021325046277221798,0.07008646428585052,0.000360357720637694
6,base,"[-1, 1]",1.0,240,5,np,IS-NP,0.15,0.7286521792411804,0.05961422327090986,0.006268869154155254,2.8113667212892324e-05
6,base,"[-1, 1]",1.0,240,5,np_fan_in,Fan-in NP,0.1,0.6937602758407593,0.061603247214225124,0.006661418359726667,3.130934419459663e-05
6,base,"[-1, 1]",1.0,240,5,np_fixed,Vanilla NP,0.3,0.4541289806365967,0.034147009875687216,0.006618569605052471,4.281606015865691e-05
6,base,"[-1, 1]",1.0,240,5,wp,WP,0.225,0.46690160036087036,0.03217074952120432,0.05447927489876747,0.0002453884808346629
6,base,"[-1, 1]",1.0,240,6,np,IS-NP,0.15,0.9563238024711609,0.1959888356204222,0.00514237442985177,2.2235652068047784e-05
6,base,"[-1, 1]",1.0,240,6,np_fan_in,Fan-in NP,0.1,0.9657818675041199,0.19835468644960202,0.005688835401087999,2.0948928067809902e-05
6,base,"[-1, 1]",1.0,240,6,np_fixed,Vanilla NP,0.3,0.9521386027336121,0.1881920217492734,0.005907800048589706,2.5298275431850925e-05
6,base,"[-1, 1]",1.0,240,6,wp,WP,0.225,0.7885951995849609,0.08535434766584633,0.05073713883757591,0.00028880720492452383
6,base,"[-1, 1]",1.0,240,7,np,IS-NP,0.15,0.48267459869384766,0.02320903691191537,0.005623140372335911,2.208968362538144e-05
6,base,"[-1, 1]",1.0,240,7,np_fan_in,Fan-in NP,0.1,0.5679041743278503,0.03491949241094214,0.006162089295685291,2.014621531998273e-05
6,base,"[-1, 1]",1.0,240,7,np_fixed,Vanilla NP,0.3,0.4959922730922699,0.02597244161540099,0.006228212732821703,2.7479087293613702e-05
6,base,"[-1, 1]",1.0,240,7,wp,WP,0.225,0.057721979916095734,0.003544634394347668,0.05828326940536499,0.00034000194864347577
6,scaled,"[-5, 5]",5.0,1,0,np,IS-NP,0.15,0.7220600247383118,0.06308224747608619,0.012563329190015793,8.585109753767028e-05
6,scaled,"[-5, 5]",5.0,1,0,np_fan_in,Fan-in NP,0.1,0.35607585310935974,0.02018558138224762,0.10211113840341568,0.00044157911906950176
6,scaled,"[-5, 5]",5.0,1,0,np_fixed,Vanilla NP,0.3,0.5600916743278503,0.030871881899656728,0.10556474328041077,0.0003049665247090161
6,scaled,"[-5, 5]",5.0,1,0,wp,WP,0.225,0.42599499225616455,0.028297362977658242,0.09110697358846664,0.0004192894557490945
6,scaled,"[-5, 5]",5.0,1,1,np,IS-NP,0.15,0.9346055388450623,0.14012388009529483,0.019985981285572052,0.00010873955761780962
6,scaled,"[-5, 5]",5.0,1,1,np_fan_in,Fan-in NP,0.1,0.8010069727897644,0.07219698316184804,0.15756426751613617,0.0005186126218177378
6,scaled,"[-5, 5]",5.0,1,1,np_fixed,Vanilla NP,0.3,0.7437030673027039,0.06964141380485671,0.1643548160791397,0.0007026915554888546
6,scaled,"[-5, 5]",5.0,1,1,wp,WP,0.225,0.7602859735488892,0.07016646040065097,0.12038804590702057,0.0005296244053170085
6,scaled,"[-5, 5]",5.0,1,2,np,IS-NP,0.15,0.6574621796607971,0.06384152397028325,0.01421081181615591,9.049519576365128e-05
6,scaled,"[-5, 5]",5.0,1,2,np_fan_in,Fan-in NP,0.1,0.37881699204444885,0.029144447085127468,0.13182708621025085,0.0006440633442252874
6,scaled,"[-5, 5]",5.0,1,2,np_fixed,Vanilla NP,0.3,0.397121787071228,0.029216001234696403,0.1330574005842209,0.0006041557062417269
6,scaled,"[-5, 5]",5.0,1,2,wp,WP,0.225,0.36949679255485535,0.022728133239676634,0.10982459783554077,0.00041462283115834
6,scaled,"[-5, 5]",5.0,1,3,np,IS-NP,0.15,0.9745805859565735,0.282953007001682,0.013307579793035984,6.901162851136178e-05
6,scaled,"[-5, 5]",5.0,1,3,np_fan_in,Fan-in NP,0.1,0.8540908098220825,0.09244758185413957,0.12432092428207397,0.0004147239087615162
6,scaled,"[-5, 5]",5.0,1,3,np_fixed,Vanilla NP,0.3,0.7879533171653748,0.08420589779937776,0.11258071660995483,0.0005301020573824644
6,scaled,"[-5, 5]",5.0,1,3,wp,WP,0.225,0.850341796875,0.10796699108032044,0.0981200709939003,0.00047810396063141525
6,scaled,"[-5, 5]",5.0,1,4,np,IS-NP,0.15,0.4249991178512573,0.029577754390569075,0.017723578959703445,7.126661512302235e-05
6,scaled,"[-5, 5]",5.0,1,4,np_fan_in,Fan-in NP,0.1,0.2396273910999298,0.015735308125598143,0.13372091948986053,0.0005932541098445654
6,scaled,"[-5, 5]",5.0,1,4,np_fixed,Vanilla NP,0.3,-0.09683893620967865,-0.005209610355571688,0.12936371564865112,0.0007623155834153295
6,scaled,"[-5, 5]",5.0,1,4,wp,WP,0.225,0.20516113936901093,0.013183743236489439,0.10972988605499268,0.0005646618665196002
