seed,condition,condition_label,input_scale,checkpoint_epoch,method,method_label,cosine,variance,batch_variance,sigma,num_batches
3,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.5445599630475044,0.09620353765785694,0.00043526826266315766,0.3,8
3,scaled,"[-5, 5]",5.0,1,wp,WP,0.6414529904723167,0.07237800536677241,0.00032957269650069065,0.225,8
3,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8859094530344009,0.004543216491583735,3.307084443804342e-05,0.15,8
3,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.6272536627948284,0.04582651238888502,0.00021358594131015707,0.1,8
3,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.6587553285062313,0.045452188700437546,0.0001820994912122842,0.3,8
3,scaled,"[-5, 5]",5.0,120,wp,WP,0.5179615095257759,0.04456479428336024,0.0002490727147232974,0.225,8
3,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.7506574969738722,0.004392495844513178,3.2803277235871064e-05,0.15,8
3,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.5348263867199421,0.040931894443929195,0.00017586308513273252,0.1,8
3,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.5200183279812336,0.04066931502893567,0.00016557829894736642,0.3,8
3,scaled,"[-5, 5]",5.0,240,wp,WP,0.39174487022683024,0.04717041365802288,0.0002648617282829946,0.225,8
4,base,"[-1, 1]",1.0,1,np,IS-NP,0.8071899451315403,0.009682299918495119,4.9518602281750645e-05,0.15,8
4,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.7826921343803406,0.009234526194632053,3.6567799952536006e-05,0.1,8
4,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.7746853120625019,0.009241075778845698,3.795521502070187e-05,0.3,8
4,base,"[-1, 1]",1.0,1,wp,WP,0.5354224666953087,0.07330405060201883,0.0003396396423340775,0.225,8
4,base,"[-1, 1]",1.0,120,np,IS-NP,0.7823569662868977,0.005594764370471239,2.748793326645682e-05,0.15,8
4,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.7680448368191719,0.005662278737872839,2.7814167879114393e-05,0.1,8
4,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.6743532307446003,0.005618128168862313,3.0942589773985674e-05,0.3,8
4,base,"[-1, 1]",1.0,120,wp,WP,0.42571285320445895,0.05530686117708683,0.00026088130289281253,0.225,8
4,base,"[-1, 1]",1.0,240,np,IS-NP,0.7611339464783669,0.005218003992922604,3.151046530547319e-05,0.15,8
4,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.7869111783802509,0.005712667072657496,2.2700413524034957e-05,0.1,8
4,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.7936331406235695,0.005763032473623753,2.8386497433530167e-05,0.3,8
4,base,"[-1, 1]",1.0,240,wp,WP,0.5054610930383205,0.053352342918515205,0.00026384676675661467,0.225,8
4,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.8157572112977505,0.009499854117166251,5.0006630317511735e-05,0.15,8
4,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.5304016452282667,0.08140391763299704,0.0003257472490076907,0.1,8
4,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.5347448922693729,0.08236198592931032,0.00032695243680791464,0.3,8
4,scaled,"[-5, 5]",5.0,1,wp,WP,0.524016821756959,0.07286634296178818,0.000343617928592721,0.225,8
4,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.7695972844958305,0.005459378066007048,3.116597144980915e-05,0.15,8
4,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.5226116832345724,0.042102192994207144,0.00018784480016620364,0.1,8
4,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.5767691656947136,0.04210315411910415,0.00017251705412490992,0.3,8
4,scaled,"[-5, 5]",5.0,120,wp,WP,0.3748454824090004,0.05728157749399543,0.00029240578987810295,0.225,8
4,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.7806941121816635,0.00557647633831948,3.887329830831732e-05,0.15,8
4,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.5611503906548023,0.04132224526256323,0.00015734692806290695,0.1,8
4,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.5854671485722065,0.04164316272363067,0.0001785439653758658,0.3,8
4,scaled,"[-5, 5]",5.0,240,wp,WP,0.42528690677136183,0.060372736770659685,0.00031929012402542867,0.225,8
5,base,"[-1, 1]",1.0,1,np,IS-NP,0.7575007788836956,0.010695518634747714,5.0749986485243426e-05,0.15,8
5,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.730856042355299,0.01108229608507827,5.184006022318499e-05,0.1,8
5,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.6901028957217932,0.010830204235389829,5.081620702185319e-05,0.3,8
5,base,"[-1, 1]",1.0,1,wp,WP,0.3740995447151363,0.07420917600393295,0.00031809504616830964,0.225,8
5,base,"[-1, 1]",1.0,120,np,IS-NP,0.7367951702326536,0.008541151881217957,4.3005112047467264e-05,0.15,8
5,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.7463751547038555,0.00891699077328667,3.63255512638716e-05,0.1,8
5,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.7733362205326557,0.009062754397746176,3.532124060257047e-05,0.3,8
5,base,"[-1, 1]",1.0,120,wp,WP,0.45577373169362545,0.06406925898045301,0.0002924055988842156,0.225,8
5,base,"[-1, 1]",1.0,240,np,IS-NP,0.7050199676305056,0.004916968347970396,2.4537935360058327e-05,0.15,8
5,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.5936050526797771,0.00593820953508839,2.7388725357013755e-05,0.1,8
5,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.6318245902657509,0.005971151927951723,2.6903848265646957e-05,0.3,8
5,base,"[-1, 1]",1.0,240,wp,WP,0.30570607213303447,0.051293994300067425,0.00025207259932358284,0.225,8
5,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.749012753367424,0.010977510013617575,5.344247279026604e-05,0.15,8
5,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.4448431897908449,0.10427496023476124,0.0004663208565034438,0.1,8
5,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.4220898933708668,0.10457588266581297,0.0004750211155624129,0.3,8
5,scaled,"[-5, 5]",5.0,1,wp,WP,0.4024319313466549,0.07591228513047099,0.0003278631738794502,0.225,8
5,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.6904126554727554,0.0048333751037716866,3.546894276951207e-05,0.15,8
5,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.41873621195554733,0.041751555167138577,0.00016202170263568405,0.1,8
5,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.37212343886494637,0.0430981176905334,0.0001930943590195966,0.3,8
5,scaled,"[-5, 5]",5.0,120,wp,WP,0.33925542794167995,0.050150854513049126,0.00025427939544897527,0.225,8
5,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.6586236506700516,0.004971836810000241,3.8794338252046145e-05,0.15,8
5,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.41194070503115654,0.03857405250892043,0.00016998320643324405,0.1,8
5,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.42231304198503494,0.039419079665094614,0.00017056845899787731,0.3,8
5,scaled,"[-5, 5]",5.0,240,wp,WP,0.18270661681890488,0.05835525318980217,0.0003449017822276801,0.225,8
6,base,"[-1, 1]",1.0,1,np,IS-NP,0.7044678088277578,0.014198008575476706,7.377792871920974e-05,0.15,8
6,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.7844143118709326,0.01281979854684323,4.6737720140299643e-05,0.1,8
6,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.7543138461187482,0.013102369906846434,5.8647528931032866e-05,0.3,8
6,base,"[-1, 1]",1.0,1,wp,WP,0.556602394208312,0.09690579771995544,0.00043749110409407876,0.225,8
6,base,"[-1, 1]",1.0,120,np,IS-NP,0.7927591353654861,0.005952269450062886,3.400508762751997e-05,0.15,8
6,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.8281088173389435,0.006595073908101767,2.965012254207977e-05,0.1,8
6,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.8204587921500206,0.0063598520355299115,3.559853439583094e-05,0.3,8
6,base,"[-1, 1]",1.0,120,wp,WP,0.49980117892846465,0.05865223566070199,0.0002947722805402009,0.225,8
6,base,"[-1, 1]",1.0,240,np,IS-NP,0.8387223407626152,0.00588052679086104,2.7751839525080868e-05,0.15,8
6,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.85420211404562,0.006361718813423067,2.7922064191443496e-05,0.1,8
6,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.8137456886470318,0.006569583434611559,3.4740636010610615e-05,0.3,8
6,base,"[-1, 1]",1.0,240,wp,WP,0.551694848574698,0.057958679273724556,0.00028852651848865207,0.225,8
6,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7656631991267204,0.014173710136674345,7.313414380405447e-05,0.15,8
6,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.5574936233460903,0.11897996626794338,0.0004527411874732934,0.1,8
6,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.5252489168196917,0.12046567443758249,0.0005435778475657571,0.3,8
6,scaled,"[-5, 5]",5.0,1,wp,WP,0.5561029594391584,0.09755521267652512,0.0004424763046699809,0.225,8
6,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8071314543485641,0.006231528532225639,4.592391405822127e-05,0.15,8
6,scaled,"[-5, 5]",5.0,120,np_fan_in,Fan-in NP,0.5754286758601665,0.04903197521343827,0.0001915000430017244,0.1,8
6,scaled,"[-5, 5]",5.0,120,np_fixed,Vanilla NP,0.5946458242833614,0.04791631689295173,0.00021370233480411116,0.3,8
6,scaled,"[-5, 5]",5.0,120,wp,WP,0.459829724393785,0.06573121901601553,0.0003589275474951137,0.225,8
6,scaled,"[-5, 5]",5.0,240,np,IS-NP,0.7161433659493923,0.006762182456441224,5.992362457618583e-05,0.15,8
6,scaled,"[-5, 5]",5.0,240,np_fan_in,Fan-in NP,0.5826653130352497,0.04441058821976185,0.0001860634793047211,0.1,8
6,scaled,"[-5, 5]",5.0,240,np_fixed,Vanilla NP,0.5897369161248207,0.0444646324031055,0.0001802981241780799,0.3,8
6,scaled,"[-5, 5]",5.0,240,wp,WP,0.3633784487028606,0.07565188221633434,0.00045288327237358317,0.225,8
7,base,"[-1, 1]",1.0,1,np,IS-NP,0.6822120901197195,0.010859948873985559,4.6240197434599395e-05,0.15,8
7,base,"[-1, 1]",1.0,1,np_fan_in,Fan-in NP,0.7555405870079994,0.011037437710911036,6.463061163231032e-05,0.1,8
7,base,"[-1, 1]",1.0,1,np_fixed,Vanilla NP,0.7495376206934452,0.011095558002125472,4.7012840695970226e-05,0.3,8
7,base,"[-1, 1]",1.0,1,wp,WP,0.496062695980072,0.07396616088226438,0.00033588693986530416,0.225,8
7,base,"[-1, 1]",1.0,120,np,IS-NP,0.8593085929751396,0.005568445165408775,2.7959190333604056e-05,0.15,8
7,base,"[-1, 1]",1.0,120,np_fan_in,Fan-in NP,0.8265842497348785,0.006624345027375966,2.7863581181009067e-05,0.1,8
7,base,"[-1, 1]",1.0,120,np_fixed,Vanilla NP,0.8173184208571911,0.006396312790457159,2.6684502699936274e-05,0.3,8
7,base,"[-1, 1]",1.0,120,wp,WP,0.4459697799757123,0.05409323237836361,0.000257657615293283,0.225,8
7,base,"[-1, 1]",1.0,240,np,IS-NP,0.7098558433353901,0.0054971412173472345,3.211274133718689e-05,0.15,8
7,base,"[-1, 1]",1.0,240,np_fan_in,Fan-in NP,0.6683888547122478,0.006548019591718912,3.3602341090954724e-05,0.1,8
7,base,"[-1, 1]",1.0,240,np_fixed,Vanilla NP,0.7322864141315222,0.006447002000641078,2.841357240868092e-05,0.3,8
7,base,"[-1, 1]",1.0,240,wp,WP,0.3534567803144455,0.05435960227623582,0.0002686336447368376,0.225,8
7,scaled,"[-5, 5]",5.0,1,np,IS-NP,0.7272328678518534,0.010890526580624282,4.9057819524023216e-05,0.15,8
7,scaled,"[-5, 5]",5.0,1,np_fan_in,Fan-in NP,0.4767562970519066,0.1069350577890873,0.0005032027875131462,0.1,8
7,scaled,"[-5, 5]",5.0,1,np_fixed,Vanilla NP,0.5016085263341665,0.10719902766868472,0.0004253385814081412,0.3,8
7,scaled,"[-5, 5]",5.0,1,wp,WP,0.5105506088584661,0.07512913504615426,0.0003458087157923728,0.225,8
7,scaled,"[-5, 5]",5.0,120,np,IS-NP,0.8527476787567139,0.0059415295254439116,3.720238623827754e-05,0.15,8
